Source,Weight,Target,Type
’,104,cable,Undirected
ABB,116,cable,Undirected
AC,95,cable,Undirected
activity,82,cable,Undirected
addition,93,cable,Undirected
area,171,cable,Undirected
array_cable,89,cable,Undirected
barge,71,cable,Undirected
burial,104,cable,Undirected
business,72,cable,Undirected
cable,3520,cable,Undirected
Cable,192,cable,Undirected
cable_installation,213,cable,Undirected
cable_laying,108,cable,Undirected
cable_route,189,cable,Undirected
Cables,93,cable,Undirected
capability,88,cable,Undirected
capacity,130,cable,Undirected
coast,84,cable,Undirected
company,374,cable,Undirected
connection,255,cable,Undirected
construction,221,cable,Undirected
contract,318,cable,Undirected
contractor,72,cable,Undirected
converter_station,87,cable,Undirected
cost,103,cable,Undirected
datum,75,cable,Undirected
delivery,92,cable,Undirected
depth,77,cable,Undirected
design,245,cable,Undirected
development,183,cable,Undirected
electricity,161,cable,Undirected
end,123,cable,Undirected
energy,139,cable,Undirected
engineering,144,cable,Undirected
equipment,144,cable,Undirected
export_cable,328,cable,Undirected
facility,96,cable,Undirected
foundation,198,cable,Undirected
Germany,90,cable,Undirected
grid,190,cable,Undirected
Group,99,cable,Undirected
high_voltage,96,cable,Undirected
highvoltage,79,cable,Undirected
hvac,72,cable,Undirected
HVDC,149,cable,Undirected
industry,178,cable,Undirected
installation,755,cable,Undirected
interarray_cable,182,cable,Undirected
interconnector,82,cable,Undirected
JDR,110,cable,Undirected
kilometer,74,cable,Undirected
kilometre,130,cable,Undirected
km,354,cable,Undirected
kv,104,cable,Undirected
land,179,cable,Undirected
landfall,97,cable,Undirected
length,128,cable,Undirected
link,101,cable,Undirected
location,90,cable,Undirected
maintenance,91,cable,Undirected
market,228,cable,Undirected
Nexans,168,cable,Undirected
North_Sea,71,cable,Undirected
Offshore,96,cable,Undirected
offshore_substation,131,cable,Undirected
offshore_wind,167,cable,Undirected
offshore_wind_farm,314,cable,Undirected
offshore_wind_farms,123,cable,Undirected
onshore_substation,107,cable,Undirected
operation,228,cable,Undirected
order,96,cable,Undirected
platform,179,cable,Undirected
point,82,cable,Undirected
power,376,cable,Undirected
power_cable,96,cable,Undirected
product,84,cable,Undirected
production,85,cable,Undirected
project,881,cable,Undirected
Prysmian,102,cable,Undirected
range,75,cable,Undirected
repair,95,cable,Undirected
risk,94,cable,Undirected
route,168,cable,Undirected
scope,103,cable,Undirected
sea,97,cable,Undirected
seabed,159,cable,Undirected
section,118,cable,Undirected
sector,75,cable,Undirected
service,207,cable,Undirected
shore,115,cable,Undirected
site,225,cable,Undirected
solution,157,cable,Undirected
storage,83,cable,Undirected
submarine,113,cable,Undirected
submarine_cable,198,cable,Undirected
subsea,187,cable,Undirected
subsea_cable,219,cable,Undirected
substation,293,cable,Undirected
supply,229,cable,Undirected
support,99,cable,Undirected
survey,194,cable,Undirected
system,650,cable,Undirected
team,90,cable,Undirected
technology,195,cable,Undirected
TenneT,99,cable,Undirected
termination,104,cable,Undirected
testing,118,cable,Undirected
time,137,cable,Undirected
transmission,118,cable,Undirected
turbine,244,cable,Undirected
UK,148,cable,Undirected
VBMS,103,cable,Undirected
vessel,408,cable,Undirected
wind_farm,428,cable,Undirected
wind_turbine,205,cable,Undirected
work,351,cable,Undirected
year,188,cable,Undirected
area,71,foundation,Undirected
cable,107,foundation,Undirected
company,165,foundation,Undirected
component,73,foundation,Undirected
construction,179,foundation,Undirected
contract,101,foundation,Undirected
cost,122,foundation,Undirected
design,266,foundation,Undirected
development,112,foundation,Undirected
engineering,91,foundation,Undirected
floating_foundation,102,foundation,Undirected
foundation,2071,foundation,Undirected
Foundation,155,foundation,Undirected
industry,78,foundation,Undirected
installation,532,foundation,Undirected
jacket,74,foundation,Undirected
jacket_foundation,244,foundation,Undirected
market,96,foundation,Undirected
monopile,86,foundation,Undirected
monopile_foundation,152,foundation,Undirected
Offshore,75,foundation,Undirected
offshore_wind,193,foundation,Undirected
offshore_wind_farm,181,foundation,Undirected
pile,104,foundation,Undirected
project,409,foundation,Undirected
seabed,113,foundation,Undirected
site,238,foundation,Undirected
solution,79,foundation,Undirected
steel,83,foundation,Undirected
structure,122,foundation,Undirected
substation,87,foundation,Undirected
system,125,foundation,Undirected
technology,130,foundation,Undirected
tower,115,foundation,Undirected
transition_piece,83,foundation,Undirected
turbine,401,foundation,Undirected
type,87,foundation,Undirected
vessel,214,foundation,Undirected
wind_farm,233,foundation,Undirected
wind_turbine,338,foundation,Undirected
work,136,foundation,Undirected
year,93,foundation,Undirected
’,72,grid,Undirected
ABB,81,grid,Undirected
area,88,grid,Undirected
cable,291,grid,Undirected
capacity,226,grid,Undirected
company,167,grid,Undirected
connection,233,grid,Undirected
construction,116,grid,Undirected
contract,101,grid,Undirected
cost,121,grid,Undirected
country,108,grid,Undirected
DC,73,grid,Undirected
development,216,grid,Undirected
electricity,253,grid,Undirected
electricity_grid,138,grid,Undirected
end,77,grid,Undirected
energy,246,grid,Undirected
Energy,96,grid,Undirected
Europe,106,grid,Undirected
generation,73,grid,Undirected
Germany,124,grid,Undirected
grid,1552,grid,Undirected
Grid,138,grid,Undirected
grid_connection,498,grid,Undirected
grid_operator,85,grid,Undirected
HVDC,90,grid,Undirected
infrastructure,128,grid,Undirected
installation,136,grid,Undirected
integration,71,grid,Undirected
investment,92,grid,Undirected
km,82,grid,Undirected
land,82,grid,Undirected
link,74,grid,Undirected
mainland,76,grid,Undirected
market,177,grid,Undirected
national_grid,96,grid,Undirected
National_Grid,133,grid,Undirected
Netherlands,73,grid,Undirected
network,118,grid,Undirected
North_Sea,114,grid,Undirected
offshore_wind,170,grid,Undirected
offshore_wind_farm,182,grid,Undirected
offshore_wind_farms,178,grid,Undirected
onshore_grid,79,grid,Undirected
operation,94,grid,Undirected
order,82,grid,Undirected
platform,173,grid,Undirected
power,541,grid,Undirected
power_grid,155,grid,Undirected
project,614,grid,Undirected
renewable_energy,124,grid,Undirected
Siemens,127,grid,Undirected
site,75,grid,Undirected
solution,134,grid,Undirected
substation,180,grid,Undirected
supply,130,grid,Undirected
system,330,grid,Undirected
technology,238,grid,Undirected
TenneT,209,grid,Undirected
time,77,grid,Undirected
transmission,112,grid,Undirected
turbine,178,grid,Undirected
UK,118,grid,Undirected
wind,124,grid,Undirected
wind_farm,366,grid,Undirected
wind_turbine,148,grid,Undirected
work,71,grid,Undirected
year,152,grid,Undirected
’,92,installation,Undirected
activity,118,installation,Undirected
addition,75,installation,Undirected
area,99,installation,Undirected
barge,76,installation,Undirected
cable,532,installation,Undirected
cable_installation,213,installation,Undirected
capacity,111,installation,Undirected
commissioning,122,installation,Undirected
company,295,installation,Undirected
component,100,installation,Undirected
concept,71,installation,Undirected
connection,76,installation,Undirected
construction,403,installation,Undirected
contract,260,installation,Undirected
contractor,117,installation,Undirected
cost,226,installation,Undirected
crane,115,installation,Undirected
delivery,81,installation,Undirected
design,375,installation,Undirected
developer,76,installation,Undirected
development,163,installation,Undirected
end,113,installation,Undirected
energy,89,installation,Undirected
engineering,184,installation,Undirected
equipment,148,installation,Undirected
export_cable,85,installation,Undirected
foundation,496,installation,Undirected
Group,71,installation,Undirected
industry,136,installation,Undirected
installation,4187,installation,Undirected
Installation,77,installation,Undirected
installation_vessel,348,installation,Undirected
km,75,installation,Undirected
maintenance,250,installation,Undirected
manufacturing,88,installation,Undirected
market,208,installation,Undirected
method,71,installation,Undirected
monopile,95,installation,Undirected
month,76,installation,Undirected
Offshore,104,installation,Undirected
offshore_wind,254,installation,Undirected
offshore_wind_farm,230,installation,Undirected
offshore_wind_farms,105,installation,Undirected
operation,290,installation,Undirected
period,77,installation,Undirected
phase,125,installation,Undirected
place,75,installation,Undirected
platform,189,installation,Undirected
port,95,installation,Undirected
power,130,installation,Undirected
process,115,installation,Undirected
procurement,72,installation,Undirected
project,837,installation,Undirected
risk,82,installation,Undirected
scope,99,installation,Undirected
sea,83,installation,Undirected
seabed,78,installation,Undirected
service,261,installation,Undirected
Siemens,106,installation,Undirected
site,357,installation,Undirected
solution,144,installation,Undirected
structure,86,installation,Undirected
subsea,93,installation,Undirected
substation,91,installation,Undirected
summer,71,installation,Undirected
supply,208,installation,Undirected
support,103,installation,Undirected
survey,78,installation,Undirected
system,377,installation,Undirected
team,95,installation,Undirected
technology,187,installation,Undirected
testing,126,installation,Undirected
time,191,installation,Undirected
tower,84,installation,Undirected
transport,165,installation,Undirected
transportation,90,installation,Undirected
turbine,565,installation,Undirected
UK,121,installation,Undirected
unit,73,installation,Undirected
vessel,592,installation,Undirected
wind,100,installation,Undirected
wind_farm,371,installation,Undirected
wind_turbine,415,installation,Undirected
work,325,installation,Undirected
year,221,installation,Undirected
’,71,technology,Undirected
ABB,90,technology,Undirected
application,120,technology,Undirected
area,125,technology,Undirected
blade,91,technology,Undirected
business,109,technology,Undirected
cable,118,technology,Undirected
capability,80,technology,Undirected
challenge,91,technology,Undirected
China,72,technology,Undirected
company,424,technology,Undirected
construction,74,technology,Undirected
cost,255,technology,Undirected
country,78,technology,Undirected
datum,82,technology,Undirected
deployment,99,technology,Undirected
design,203,technology,Undirected
developer,166,technology,Undirected
development,579,technology,Undirected
device,77,technology,Undirected
energy,314,technology,Undirected
Energy,179,technology,Undirected
engineering,122,technology,Undirected
Engineering,72,technology,Undirected
experience,103,technology,Undirected
expertise,104,technology,Undirected
facility,106,technology,Undirected
foundation,92,technology,Undirected
funding,93,technology,Undirected
generation,111,technology,Undirected
HVDC,116,technology,Undirected
industry,370,technology,Undirected
innovation,234,technology,Undirected
installation,148,technology,Undirected
Institute,82,technology,Undirected
investment,126,technology,Undirected
market,295,technology,Undirected
ocean,73,technology,Undirected
offshore_wind,335,technology,Undirected
operation,100,technology,Undirected
opportunity,135,technology,Undirected
order,72,technology,Undirected
partner,99,technology,Undirected
partnership,75,technology,Undirected
performance,91,technology,Undirected
platform,148,technology,Undirected
potential,141,technology,Undirected
power,245,technology,Undirected
process,71,technology,Undirected
product,94,technology,Undirected
programme,79,technology,Undirected
project,623,technology,Undirected
renewable_energy,134,technology,Undirected
report,78,technology,Undirected
research,216,technology,Undirected
Science,76,technology,Undirected
Scotland,88,technology,Undirected
sector,129,technology,Undirected
service,96,technology,Undirected
Siemens,125,technology,Undirected
site,123,technology,Undirected
solution,184,technology,Undirected
support,109,technology,Undirected
system,316,technology,Undirected
team,74,technology,Undirected
technology,4025,technology,Undirected
Technology,638,technology,Undirected
test,83,technology,Undirected
testing,123,technology,Undirected
time,111,technology,Undirected
turbine,266,technology,Undirected
UK,212,technology,Undirected
University,123,technology,Undirected
use,83,technology,Undirected
vessel,98,technology,Undirected
wave,109,technology,Undirected
wave_energy,83,technology,Undirected
way,83,technology,Undirected
wind,188,technology,Undirected
wind_energy,86,technology,Undirected
wind_farm,106,technology,Undirected
wind_turbine,189,technology,Undirected
world,111,technology,Undirected
year,191,technology,Undirected
